index,name,artist,release_date,length,popularity,danceability
135,Foxey Lady,Jimi Hendrix,1997,3.304883333,46,0.494
136,Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd,1975,13.51795,66,0.266
137,Livin' On A Prayer,Bon Jovi,1986,4.154883333,2,0.534
138,Me and Bobby McGee,Janis Joplin,1971,4.522216667,72,0.453
139,Who Are You,The Who,1978,6.360433333,69,0.651
140,Brown Sugar - 2009 Mix,The Rolling Stones,1971,3.8111,69,0.633
141,Black,Pearl Jam,1991,5.710883333,74,0.36
142,Lust For Life,Iggy Pop,1977,5.232083333,67,0.383
143,Carry on Wayward Son,Kansas,1976,5.383333333,75,0.482
144,Rock And Roll All Nite,KISS,1975,2.814,75,0.654
145,American Pie,Don McLean,1971,8.614883333,75,0.531
146,Cocaine,Eric Clapton,1977,3.694,67,0.699
147,Runnin' with the Devil - 2015 Remaster,Van Halen,1978,3.582666667,72,0.472
148,Honky Tonk Women - Live,The Rolling Stones,2020,4.91,35,0.368
149,Clocks,Coldplay,2002,5.131316667,77,0.577
150,Best of You,Foo Fighters,2005,4.260433333,76,0.366
151,Ziggy Stardust - 2012 Remaster,David Bowie,1972,3.240666667,64,0.44
152,By the Way,Red Hot Chili Peppers,2002,3.61555,73,0.451
153,Paranoid Android,Radiohead,1997,6.45355,67,0.252
154,Personal Jesus - Single Version,Depeche Mode,1998,3.748883333,70,0.673
155,In Bloom - Nevermind Version,Nirvana,1991,4.251333333,65,0.436
156,Dirty Deeds Done Dirt Cheap,AC/DC,1976,3.86555,74,0.668
157,Karma Police,Radiohead,1997,4.4011,74,0.36
158,Revolution - Remastered 2009,The Beatles,1973,3.42155,66,0.407
159,Free Fallin',Tom Petty,1989,4.266666667,78,0.623
160,Something - Remastered 2009,The Beatles,1969,3.038216667,71,0.396
161,How Soon Is Now? - 2011 Remaster,The Smiths,1984,6.802883333,70,0.398
162,A Whiter Shade of Pale - Original Single Version,Procol Harum,1967,4.1491,47,0.249
163,Buddy Holly,Various Artists,2020,2.682883333,4,0.52
164,Black Magic Woman - Single Version,Santana,1969,3.274433333,67,0.489
165,Boulevard of Broken Dreams,Green Day,2017,4.372216667,75,0.496
166,Bang A Gong (Get It On) (Electric Version),T. Rex,2010,4.744716667,44,0.788
167,Wild Horses - 2009 Mix,The Rolling Stones,1971,5.696216667,72,0.432
168,Another One Bites The Dust - Remastered 2011,Queen,1980,3.57755,73,0.933
169,Lithium,Nirvana,1991,4.284216667,68,0.678
170,Yesterday - Remastered 2009,The Beatles,1965,2.094433333,77,0.332
171,When I Come Around,Green Day,1994,2.966666667,74,0.531
172,Sex on Fire,Kings of Leon,2008,3.3891,80,0.542
173,Heart of Gold - 2009 Remaster,Neil Young,1972,3.116883333,73,0.541
174,Hey Ya! - Radio Mix,OutKast,2003,3.920216667,78,0.727
175,Superstition - Single Version,Stevie Wonder,2002,4.09155,0,0.643
176,Hells Bells,AC/DC,1980,5.204883333,75,0.389
177,Eleanor Rigby - Remastered 2009,The Beatles,1966,2.108883333,69,0.581
178,No One Knows,Queens of the Stone Age,2002,4.6451,65,0.507
179,Ace of Spades,Motörhead,1980,2.782,74,0.329
180,A Hard Day's Night - Remastered 2009,The Beatles,1964,2.57,67,0.59
181,Tom Sawyer,Rush,1981,4.614666667,72,0.536
182,Fortunate Son,Creedence Clearwater Revival,1969,2.346216667,81,0.64
183,"Anarchy In The U.K. - Live From Finsbury Park,London,United Kingdom/1996",Sex Pistols,1996,3.54155,30,0.273
184,Drive,Incubus,1999,3.874216667,74,0.645
185,Somebody to Love,Jefferson Airplane,1967,2.914,72,0.504
186,School's Out,Alice Cooper,1972,3.501766667,67,0.294
187,Respect,Aretha Franklin,1967,2.46,73,0.805
188,Last Resort,Papa Roach,2000,3.33155,2,0.581
189,Refugee,Tom Petty and the Heartbreakers,1979,3.36155,64,0.579
190,La Grange - 2005 Remaster,ZZ Top,1973,3.841333333,76,0.545
191,Bad Moon Rising,Creedence Clearwater Revival,1969,2.36,78,0.508
